Afiliate number,Active,Name,FirstName,LastName,Email,WorkPhone,WhatsApp,Address,Web,Descripcion,City,Maps,Location,Discount,Logo,Facebook,Instagram,Category,Sub-Categoria,Service,Type,Sticker,Rating,Recommended,TyC
1,TRUE,3XL Burger,Cheo,Arcia Betancourt,cheo@3xlburger.com,9842114978,9842114978,Calle 8 Nte entre avenidas 25 y 30,http://3xlburger.com,"Grilled BBQ Burgers, Hot Dogs and Ribs that you can make as big as you want by choosing your favorite ingredients. Accompany your prey with our milkshakes or fresh waters of the day.",Playa del Carmen,https://maps.app.goo.gl/9f4SwAGHT4YECbYQ7,"20.628342257883837, -87.0768405306913",15%,https://drive.google.com/file/d/1CSnJ1F_npvp5SVUy0OC28Km5hi77utsm/view?usp=drive_link,https://www.facebook.com/3xlburger?mibextid=LQQJ4d,https://www.instagram.com/3xlburger,Restaurant Burgers,Burgers,,Restaurants,Yes,1,FALSE,NO
2,TRUE,4 Elementos Bistro,Nemaña,Tamic,4elementosb@gmail.com,9841841156,9841579498,Esquina de calle 38 y C. Flamingos,,"Breakfasts, Brunch, Dinners and Mystical Mixology",Playa del Carmen,https://maps.app.goo.gl/t2XcXgDN7dXXQ4ycA,"20.63443355044908, -87.06402425581793",10%,https://drive.google.com/file/d/1lcHjW354dJc9cO3e1UYjh8rBorux-A9E/view?usp=drive_link,https://www.facebook.com/4elementosbistro,https://www.instagram.com/4elementosbistro?igsh=MTVhenV4b3Uwc3c3Nw==,Restaurant Bistro,Bistro,,Restaurants,Yes,1,FALSE,NO
3,TRUE,5th Ink Tattoo Shop,Gillan,Franco,soltzinplaya@hotmail.com,984 140 0747,9841400747,5ta Av. con calle 16,,Tattoo and piercing shop,Playa del Carmen,https://maps.app.goo.gl/76SPtpETu9ZHdEiq8,"20.62956365639353, -87.07027514232715",10%,https://drive.google.com/file/d/1hYNxy2As5UC-_i-TM9Sw75jVedy5k-MZ/view?usp=drive_link,https://www.facebook.com/5taink/,https://www.instagram.com/5th_ink/?hl=es-la,Store,Tattoo Store,Tattoo-Tattoo,Services,Yes,1,FALSE,NO
4,TRUE,ADO,Lulú,Jiménez ,mljimenez@mobilityado.com,55 5784 4652,984 157 6199,"Av Uxmal 5, 77500 Cancún, Q.R.",https://www.ado.com.mx/,Bus Transportation,Cancún,https://maps.app.goo.gl/yxwkhtbVqF6j47tu6,"21.164475328349926, -86.82672172698153",10% discount,https://drive.google.com/file/d/1h8fspRmfCZEvWgWEjmUjd8yU2KDNNEHN/view?usp=drive_link,https://www.facebook.com/pages/ADO-playa-del-carmen/587857574568304?locale=es_LA,https://www.instagram.com/explore/locations/697276394002053/ado-playa-del-carmen/,Service Transportation,Transport service,Bus,Services,Yes,1,TRUE,NO
5,TRUE,ADO,Lulú,Jiménez ,mljimenez@mobilityado.com,55 5784 4652,984 157 6199,"Av Uxmal 5, 77500 Cancún, Q.R.",https://www.ado.com.mx/,Bus Transportation,Playa del Carmen,https://maps.app.goo.gl/KYrZEZ5FRZsWjbyM6,"20.62277609059367, -87.07514979918976",10% discount,https://drive.google.com/file/d/1h8fspRmfCZEvWgWEjmUjd8yU2KDNNEHN/view?usp=drive_link,https://www.facebook.com/pages/ADO-playa-del-carmen/587857574568304?locale=es_LA,https://www.instagram.com/explore/locations/697276394002053/ado-playa-del-carmen/,Service Transportation,Transport service,Bus,Services,Yes,1,TRUE,NO
6,TRUE,ADO,Lulú,Jiménez ,mljimenez@mobilityado.com>,55 5784 4652,984 157 6199,"Av Uxmal 5, 77500 Cancún, Q.R.",https://www.ado.com.mx/,Bus Transportation,Tulum,https://maps.app.goo.gl/EingpqeC5WXqfjZC8,"20.210646456452952, -87.46504290866682",10% discount,https://drive.google.com/file/d/1h8fspRmfCZEvWgWEjmUjd8yU2KDNNEHN/view?usp=drive_link,https://www.facebook.com/pages/ADO-playa-del-carmen/587857574568304?locale=es_LA,https://www.instagram.com/explore/locations/697276394002053/ado-playa-del-carmen/,Service Transportation,Transport service,Bus,Services,Yes,1,TRUE,NO
7,TRUE,A la Mexicana,Juan,,alamexicana.tacoshop@gmail.com,9985783548,9981209496,"Javier Rojo Gomez, 77580 Puerto Morelos, Q.R.",,"""A taco a day"" tacos, meats and more...Mexican style",Puerto Morelos,https://maps.app.goo.gl/TuKjvPm8zhg5oRCD9,"20.850730556872644, -86.87533846138263",water of the day,https://drive.google.com/file/d/18AwBQtLW9mBAeOaS7DIRku7nDlHRfXAg/view?usp=drive_link,https://www.facebook.com/profile.php?id=61552616075596,,Restaurant Food Truck,food trucks,,Restaurants,Yes,1,FALSE,NO
8,TRUE,A la Verde / Healthy fast food,Alfonso,Hernandez,alaverde.playa@gmail.com,9841791853,9841791853,Avenida 10 y calle 72 norte,,Vegetarian food in Playa del Carmen,Playa del Carmen,https://maps.app.goo.gl/hbCms7TmKxgUWMHCA?g_st=ic,"20.643980919286065, -87.06081731163587",10%,https://drive.google.com/file/d/1pvVXyWjslqYzZ6WQV-NJeSurfMt-8J7o/view?usp=drive_link,,https://www.instagram.com/a_la_verde_playa?igsh=cW53dzA2OWIwcm5i,"Restaurant Vegan, Vegetarian","Vegan, Vegetarian",,Restaurants,Yes,1,FALSE,NO
9,TRUE,Agata Nails,Angeles Belen,Torres,beleetorres@gmail.com,9841577854,9841577854,Remoto,,Manicure & Pediure,Playa del Carmen,A DOMICILIO,,Hand Massage,https://drive.google.com/file/d/1bEMZsys0yAYkkbTqxw1bE2OGqXs5BPyr/view?usp=drive_link,https://www.facebook.com/agata.nails.3?locale=es_LA,https://www.instagram.com/agata_nails3/,Service Nail Spa,Salon-Salón,Manicure & Pedicure,Services,Yes,1,FALSE,NO
10,TRUE,Ah Carbón,Raquel,Gurrola,ah.carbonplayadelcarmen@gmail.com,984 147 6737,9841201774,calle 22 entre avenidas 5ta y 1ra,,The best tacos in Playa del Carmen,Playa del Carmen,https://maps.app.goo.gl/d5LzEDYw5vYoob4C7,"20.636046645809838, -87.06932775911599",12% paying in cash,https://drive.google.com/file/d/1yPWTskl_aJJV6WHKkNB__fWrXFdTS8_5/view?usp=drive_link,https://www.facebook.com/AhCarbonPlayaDelCarmen/,,Mexican Grill,Mexican Grill,,Restaurants,Yes,1,FALSE,NO
